Crop,R2_Score
Agriculture,0.9395957388420266
"Almonds, in shell",0.1891743930177343
Apples,0.1703759390863322
Apricots,0.12775750612373105
Areca nuts,0.10770505510835593
Bananas,0.14777921642722358
Barley,0.20940236589771255
"Beans, dry",0.20086160780283202
Buckwheat,0.045528301954943395
"Cereals, primary",0.9318095106944172
"Chick peas, dry",0.14154354073809317
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",0.1135060589937954
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",0.00996548906366046
"Citrus Fruit, Total",0.7237816199097636
"Coarse Grain, Total",0.9293362189260035
"Coconuts, in shell",0.24538158462876825
"Coffee, green",0.07387261990712857
"Cotton lint, ginned",0.0928510793682713
Cotton seed,0.10102549291902663
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",0.17616875324033177
Eggs Primary,0.9090796068841627
"Eggs from other birds in shell, fresh, n.e.c.",0.2232398603693333
Fibre Crops Primary,0.7998476065236779
Fruit Primary,0.9101214314162237
"Fruit excl Melons, Total",0.9101214314162237
"Ginger, raw",0.0775963908355104
Green garlic,0.19782160148464667
"Hen eggs in shell, fresh",0.2009117834763705
Jute & Jute-like Fibres,0.7990600550720974
"Jute, raw or retted",0.19735754582088816
Lemons and limes,0.1715753262720262
"Lentils, dry",0.19776258320219298
Linseed,0.18150154884330283
Livestock,0.9306953403149133
Maize (corn),0.1995211607710845
"Mangoes, guavas and mangosteens",0.08171191705693659
"Meat of buffalo, fresh or chilled",0.19849283331035783
"Meat of buffalo, fresh or chilled (biological)",0.22546519163438816
"Meat of cattle with the bone, fresh or chilled",0.21101874573016632
"Meat of cattle with the bone, fresh or chilled (biological)",0.21315208961784293
"Meat of chickens, fresh or chilled",0.09248864444836402
"Meat of chickens, fresh or chilled (biological)",0.13573730558484653
"Meat of ducks, fresh or chilled",0.13877322273420123
"Meat of ducks, fresh or chilled (biological)",0.15318634471722203
"Meat of goat, fresh or chilled",0.18551065033705127
"Meat of goat, fresh or chilled (biological)",0.22262011834587836
"Meat of pig with the bone, fresh or chilled",0.19508427158514474
"Meat of pig with the bone, fresh or chilled (biological)",0.18173907906735565
"Meat of sheep, fresh or chilled",0.16585791349160572
"Meat of sheep, fresh or chilled (biological)",0.22504652195335995
"Meat, Total",0.8858707627657451
"Milk, Total",0.9311400022738626
Millet,0.21456949762939193
Mushrooms and truffles,0.03720263065905749
Mustard seed,0.2085493807376414
Natural honey,0.14455701240578767
"Nutmeg, mace, cardamoms, raw",0.2564360662978067
"Oilcrops, Oil Equivalent",0.8198843471169381
"Onions and shallots, dry (excluding dehydrated)",0.11261384712303513
Oranges,0.2152221224731432
"Other citrus fruit, n.e.c.",0.011516796039239385
"Other fruits, n.e.c.",0.13140717738929442
"Other oil seeds, n.e.c.",0.016076292637599354
Other pulses n.e.c.,0.2053501204631195
"Other stimulant, spice and aromatic crops, n.e.c.",0.016628872447603027
"Other vegetables, fresh n.e.c.",0.19830627465913975
Papayas,0.0496051536390586
Peaches and nectarines,0.008561686430887394
Pears,0.14001768254011016
Persimmons,0.01016699502860463
"Pigeon peas, dry",0.15711317296880367
Pineapples,0.07648297995668274
Plums and sloes,0.12580623019918635
Potatoes,0.2057099023871929
"Pulses, Total",0.8790649029326097
Raw milk of buffalo,0.1876297011235757
Raw milk of cattle,0.18271536852718107
Raw milk of goats,0.18750914017736864
Raw milk of sheep,0.18750914017736864
Rice,0.20573866101065974
"Roots and Tubers, Total",0.9400753879161308
"Seed cotton, unginned",0.10733612651992386
"Shorn wool, greasy, including fleece-washed shorn wool",0.16186881897533834
Soya beans,0.20289693070363723
Sugar cane,0.23658924808641912
Sweet potatoes,0.04905683442541553
Tea leaves,0.17153282763333155
Tomatoes,0.07302084507471629
"Treenuts, Total",0.881290378424242
Unmanufactured tobacco,0.19091709698002823
Vegetables Primary,0.8756896976729187
"Vegetables&Melons, Total",0.8756896976729187
"Walnuts, in shell",0.15471825275948847
Wheat,0.21125563094349153
